Day,Streamflow (m^3/s),Stdev
0,128.88155546666664,35.630012591023814
1,136.19830195555556,49.89831101817011
2,130.21559137777774,39.59639029547931
3,131.59996826666668,37.078678638845716
4,125.82884711111112,32.849763082365314
5,122.7541145777778,29.69791552628419
6,126.03257075555555,32.670649596949545
7,129.99298986666665,33.900726366604395
8,129.61071306666668,34.69051252688098
9,130.43268684444445,29.102098083263694
10,125.95548613333335,28.63694858466428
11,124.35637351111109,29.77055455312153
12,126.9536533333334,31.821206899672003
13,126.67205848888891,36.42023727058141
14,127.21794346666668,40.71348685780951
15,125.24756613333332,37.11610112624943
16,120.62956799999999,36.00788345471484
17,117.82541822222223,35.12196684039975
18,117.7381080888889,29.627533569079574
19,117.78923564444442,31.278535713948795
20,117.83249742222223,34.39408667020908
21,117.60517644444445,34.45271425672554
22,121.13297777777777,41.51882990734538
23,118.23601182222221,45.08331369015185
24,118.81414648888888,44.89581324915853
25,119.37261671111112,42.26078373810748
26,121.51446799999998,40.617049750125105
27,122.07529795555554,39.4515476292987
28,122.28138133333333,37.57286302174592
29,119.0115775111111,34.84951089876475
30,118.7700981333333,35.20939247411012
31,112.73940631111108,33.45568714353809
32,112.75985733333333,30.32401879622996
33,112.87941715555556,30.934292708145648
34,117.24649697777778,32.25643259903404
35,118.45468044444442,35.19349159996508
36,115.00868320000001,37.93847277396071
37,111.63898400000001,36.57347914757316
38,110.89802773333334,39.512998414552136
39,109.91795182222222,34.713293728182386
40,109.125868,32.16235638302813
41,112.20846631111112,31.70229308998768
42,114.65944266666666,34.85577083616414
43,115.1038591111111,35.68745179538883
44,113.83274942222222,33.53008091666852
45,116.38598088888888,34.250970098972964
46,115.90223555555559,33.280168391615256
47,114.8592334222222,30.709144294639852
48,111.1796225777778,28.64757677246856
49,111.08444666666666,29.694379743743266
50,111.35345626666668,29.559945643265646
51,116.91849404444444,35.15855057936993
52,116.18304382222222,31.347288406083276
53,114.7003447111111,29.71775293132884
54,112.91638631111113,30.099339328276837
55,107.09885706666665,27.680512076459024
56,104.90509164444444,25.5334389562214
57,98.04220053333331,27.51552520611966
58,99.14498257777778,26.470877756378954
59,101.85474302222221,25.451751177316606
60,105.76246142222223,24.700285895889344
61,108.6901039111111,26.75492680678967
62,112.4570248888889,31.64980985236389
63,114.33537262222222,33.823757850128494
64,111.38098648888891,34.09670027640918
65,111.30075555555555,36.56354126744715
66,109.42004808888888,33.639564630884415
67,108.11196924444442,31.958926375719702
68,110.13583386666669,29.331556618835343
69,114.91272071111108,29.497013849566862
70,123.29292035555552,42.09315414285872
71,129.51239084444444,42.472858985340324
72,133.47280995555553,44.030536582741234
73,131.16105786666665,39.71826509269359
74,130.46886942222227,40.36910762925081
75,128.1091360888889,34.85546899782632
76,126.37630524444444,28.761489244629946
77,127.44683760000001,33.61948932515546
78,128.4827605333333,35.60903684430297
79,135.6508438222222,42.67294339906679
80,132.2331633777778,32.436239732098336
81,130.2187376888889,35.344784517770535
82,135.38498053333333,38.67739526223308
83,132.74286577777778,38.18410504000107
84,134.92797884444448,35.3841735228977
85,136.97229448888888,35.99731374409649
86,133.65529599999996,43.23107101125843
87,138.31498275555558,57.38367534527801
88,137.8005608888889,49.69990430936931
89,145.76387431111112,56.00520134955921
90,143.13749111111113,52.618297584354394
91,144.94976631111112,49.416195307810575
92,148.8055705777778,52.04566577560362
93,154.06856248888886,56.2481674072765
94,161.9736691555555,58.95338290304515
95,166.75055599999996,54.2046792513098
96,172.4068368,60.249173023267296
97,175.31638799999996,58.89191065768406
98,179.99259288888885,57.58182358204356
99,182.44042293333334,68.52475957374052
100,190.11427573333333,66.41684849102357
101,193.9504155555556,65.85729762936145
102,199.86390728888895,71.57357152352154
103,202.6735631111111,77.82885892099067
104,211.28423004444443,80.97092158900348
105,221.48771697777775,87.26467969886686
106,225.5165683555555,78.09611329840801
107,245.18573226666663,91.68929117982003
108,260.99830533333335,111.27926049229902
109,274.33709128888887,133.45452657122166
110,298.13578853333337,144.92371646464446
111,321.95650995555553,167.1529899772904
112,335.36136844444434,181.4417925318527
113,362.8152926222223,201.36778863798116
114,379.7786289777778,218.82341390599734
115,371.2104372444444,213.31963520543985
116,366.3470268444444,188.63802188713078
117,370.0698994666666,167.61539219969202
118,383.5557754666668,166.7670430806929
119,403.0920077333333,196.6913299829076
120,426.12300506666656,244.74130484314367
121,430.94629999999995,221.7615166344962
122,443.37816177777773,208.83833962365216
123,442.98251315555547,225.03927975955904
124,472.2164628444443,258.6506411774714
125,507.7721381333333,276.67499911315207
126,539.4578507555556,298.9373280977953
127,566.1896965333333,329.4586822216484
128,590.8622816888887,376.09735995013574
129,599.3730532444446,354.5527226807247
130,614.3494941333333,338.47419917164865
131,697.3247973333334,401.1635149860894
132,725.9758928888889,435.5289533268506
133,747.8427551111112,422.32088200507144
134,737.0265240888888,365.33570488796744
135,761.6692192888888,350.7965451193167
136,826.1630910222223,355.7254637689923
137,868.9434832000001,347.35581504386425
138,918.576540977778,398.6918389588184
139,943.2231690666665,408.27269517327653
140,968.5847963555557,417.64310682365175
141,963.0008807111112,385.7722722110571
