x,y
774783.2600363579,5863590.638544111
774813.5779013032,5863546.504259106
774874.2095379442,5863498.325667236
774942.1075871538,5863441.281174125
774945.9544468554,5863434.559858023
775062.3011447005,5863354.898256318
775111.1036411294,5863328.894020033
775139.3067797454,5863308.142131093
775175.4786242543,5863274.497800485
775179.9214912349,5863261.319077874
775199.1204148164,5863229.774588268
775196.5813565449,5863188.918933192
775192.023585829,5863116.239951822
775197.3073690204,5863093.595958962
775223.8733605134,5863052.619202431
775275.9713497241,5862987.1954977065
775368.4322748042,5862915.111749178
775379.7932475248,5862899.45141046
775397.5578888479,5862883.891785372
775473.5211231682,5862850.605568941
775498.1060378824,5862836.065497904
775515.990824025,5862828.993329689
775488.4034135756,5862792.081646105
775439.8536231744,5862737.770177108
775364.1821247714,5862648.587863799
775275.8837598473,5862511.675252204
775256.9319750323,5862459.90674795
775254.1594562313,5862439.543154681
775252.8603445065,5862429.9196411
775254.8468643249,5862406.479927509
775259.654218398,5862387.290727798
775297.7097791029,5862290.557546767
775303.2165266452,5862264.406914173
775311.9986164602,5862238.553259069
775309.5423417088,5862228.292340783
775317.2795276976,5862215.846800701
775318.0985986177,5862205.882863201
775345.1405790382,5862161.450842044
775381.9024217024,5862118.351396088
775405.0757829299,5862080.142100605
775406.264983112,5862067.164907564
775434.8170512132,5862002.747919585
775440.9196944603,5861970.139780538
775457.4170712178,5861931.3418269735
775461.7563624269,5861918.66695316
775459.3000623605,5861908.406016686
775464.3387418304,5861888.769706414
775471.7275589567,5861879.835995964
775497.9737932229,5861765.560695104
775510.2514844689,5861736.435029756
775508.3911180387,5861719.71663776
775512.7303879334,5861707.041741125
775540.1438189697,5861579.29041748
775581.1435254824,5861406.433438021
775597.6652555431,5861368.196249245
775622.4961178676,5861270.341970817
775621.9226540262,5861237.145096192
775626.1422348168,5861227.472689041
775631.8936464936,5861198.313932177
775630.5024196191,5861094.775052041
775615.6635908356,5861033.775564589
775610.0542591248,5861020.277427135
775596.1372401592,5860988.962941791
775565.8433773981,5860953.291169564
775547.3584912067,5860935.16101387
775518.805448002,5860919.210236841
775488.2885368423,5860887.0450234255
775483.6016208316,5860863.078883775
775497.3158005427,5860818.0301789455
775506.5711488066,5860788.658975858
775545.6669795924,5860718.60700449
775597.6606336326,5860613.532531895
775679.1269142042,5860513.8782835705
775731.6912966964,5860441.938211518
775747.6168432016,5860410.158208176
775760.3704764926,5860377.577254244
775787.0607343864,5860336.59396136
775803.5821318985,5860298.356411335
775838.5834004299,5860237.971118603
775905.7865882921,5860110.5759597
775931.8836087534,5860076.112368052
775967.8232805312,5860002.760243252
776034.8004414439,5859878.808948341
776070.6231054806,5859808.521549856
776087.364638189,5859766.71486089
776102.2262658635,5859747.90664187
776110.7820669328,5859725.4966382515
776121.4242295977,5859716.360961596
776163.9199788971,5859646.599572778
776172.8267588159,5859620.739933313
776176.9402107187,5859571.355623005
776207.7269683396,5859560.920444127
776253.348054127,5859531.053670271
776296.3141748536,5859494.993369975
776585.7431746119,5859293.263179631
776645.3091607459,5859258.053169702
776730.2754186713,5859235.556548557
776757.294465201,5859230.777870638
776783.3912624322,5859236.467382225
776806.7867171216,5859234.903753826
776843.6536273822,5859231.514436729
776876.6466615527,5859234.223467275
776938.1957824589,5859252.9454411045
777070.5272212359,5859260.518907172
777083.5281285197,5859265.145450202
777113.5968475123,5859264.107928392
777168.1274497311,5859248.59691073
777257.1853765645,5859216.370448133
777302.8310530356,5859187.064160575
777327.1706224518,5859175.530898799
777372.8162957038,5859146.22457067
777491.1267712355,5859082.833050464
777536.546709984,5859056.97091985
777549.9936615346,5859054.584204124
777639.4026118069,5859018.907766961
777647.139445722,5859006.4616334345
777677.9017755825,5858995.4651102815
777727.5438244638,5858959.992484677
777752.8217463568,5858935.492223298
777804.7893896016,5858870.007406399
777851.6017070262,5858787.070475985
777849.1669225903,5858777.30794725
777856.2888700346,5858770.883098698
777861.3488084339,5858751.744701933
777876.9010716642,5858722.914734784
777877.4968371781,5858716.457080177
777903.8439392834,5858681.981694165
777955.4413880552,5858619.509975574
777996.0702951695,5858570.184823181
778015.3740680503,5858538.196629315
778052.6080156232,5858491.577155743
778113.9309878914,5858433.4348329855
778178.431562885,5858379.090603964
778276.1510558268,5858324.010725763
778331.2746950033,5858301.978979478
778366.6206549649,5858275.29868688
778426.306136548,5858237.084749318
778440.3488295964,5858228.240205769
778494.5279579579,5858176.023766972
778579.988560206,5858070.198254972
778629.8499567612,5857991.001432475
778651.0575224067,5857936.574773393
778656.4379864384,5857910.428183508
778669.310370254,5857874.8432385605
778670.2542820418,5857864.873484477
778686.8972869143,5857826.566645672
778792.578203313,5857715.4407068025
778825.8182363219,5857675.049087841
778916.882499318,5857579.72389554
778982.296320768,5857511.850552967
779053.1207147302,5857421.388664776
779076.3115816253,5857383.612955689
779095.9784132242,5857305.458788607
779102.6725929502,5857266.328799422
779098.5804205318,5857235.904073049
779076.2445829988,5857184.278723787
779056.1234671336,5857145.985049588
779013.7708649857,5857095.716685254
778966.7477318373,5857062.010025832
778864.954003553,5857006.7939008
778838.0592607564,5856971.413269215
778835.6025040154,5856961.151976527
778843.3200124071,5856948.269165966
778851.5270443833,5856929.3702843245
778899.5056883818,5856873.109428433
778960.256685912,5856821.984269049
779001.5838651899,5856765.695966749
779021.003913659,5856730.641990005
779059.281338333,5856670.612400822
779092.7714587424,5856630.209522387
779096.862669373,5856620.479545056
779137.5941019474,5856570.648848582
779145.5563170959,5856554.757914651
779277.1061654721,5856412.608450005
779360.6774935095,5856326.720062201
779463.80235217,5856208.831555189
779508.5213637169,5856149.7744639665
779589.2727024095,5856099.790027168
779662.9999055052,5856052.729321931
779765.649728015,5855978.450344523
779806.3808867116,5855928.6190154115
779837.1661236649,5855878.02722558
779864.5537480059,5855830.078959571
779885.8824286347,5855798.502299616
779898.0364063057,5855746.52294266
779955.2844911461,5855658.388944323
779980.9125566666,5855630.437433147
780030.3061038088,5855597.907980081
780087.7608583977,5855586.141163039
780151.090748073,5855545.208263494
780189.3472285283,5855524.834058054
780216.953356985,5855510.53668626
780375.4581092432,5855462.465485678
780502.8421617292,5855431.527512243
780567.321143358,5855416.836620262
780662.361171055,5855395.153185136
780710.4923514376,5855371.045802759
780734.6769871413,5855364.576301257
780777.6174201948,5855327.951449687
780787.6855603845,5855325.77140978
780844.796439806,5855280.358297834
780921.4480430242,5855237.042937821
781003.4896829583,5855210.795304841
781065.5117787317,5855185.842671669
781102.3761945156,5855182.389407432
781113.0180473694,5855173.252750793
781167.7931610383,5855154.730772351
781205.6988577555,5855137.805994696
781238.7151273293,5855100.919193852
781266.9207832085,5855043.0053119715
781296.9044731733,5854962.657856716
781317.5049104042,5854874.344068702
781324.7718420255,5854828.2562727295
781341.6393523739,5854786.503268532
781338.8342356104,5854779.753906273
781350.6643577459,5854757.638950775
781370.6792639764,5854716.125730979
781422.7724576441,5854650.692949723
781540.0330060654,5854520.390926411
781655.3304965608,5854414.028980979
781744.8588444989,5854338.123264934
781823.2747802265,5854274.934118188
781977.6440155597,5854138.169260021
782013.4651275419,5854108.031185886
782055.5918330404,5854121.588492998
782065.1706341939,5854125.424597126
782107.2973587447,5854138.981908267
782252.261630802,5854194.2827614425
782316.3949342441,5854223.25906581
782326.5664977939,5854220.574829231
782349.1439108727,5854228.974786767
782400.2786745648,5854253.387258868
782428.8332980138,5854269.337441416
782534.9689509731,5854294.702333318
782556.2550470408,5854296.53780138
782587.1424331535,5854285.533885189
782671.88381162,5854226.3821682455
782756.149916746,5854133.464416498
782778.9697461117,5854098.699927646
782841.4816041999,5854027.635775691
782925.3994928036,5853938.229886759
783011.4322620195,5853865.5951516675
783055.4379861626,5853816.057991268
783063.0489916678,5853803.616067721
783095.2247872216,5853776.194322741
783121.2223612078,5853745.227850072
783150.3673740845,5853714.501141836
783161.6018354535,5853698.843717646
783162.1754167987,5853691.886968305
783180.0859591067,5853676.817663477
783210.0491799759,5853636.125979474
783232.0533603755,5853611.388464082
783278.062567566,5853538.845286878
783323.8298140743,5853469.372553518
783405.2900479928,5853369.703987176
783433.8395523791,5853345.435159466
783518.1103356199,5853292.734804703
783639.6940534349,5853229.628822349
783834.7815941464,5853163.058913416
783974.1565068227,5853127.980295531
784014.6446651197,5853121.310577484
784054.7848101533,5853118.153111907
784138.688584616,5853108.622628054
784209.9607819258,5853091.4524333775
784267.7668407664,5853076.233555023
784297.7108553497,5853075.199449347
784351.667975203,5853066.640648377
784507.2953353978,5853073.14522804
784592.9418872917,5853083.337390091
784626.5312769697,5853079.586392221
784804.2693645736,5853101.005852626
784853.0703254518,5853115.088634688
784862.8939510768,5853115.916470734
784999.2253520123,5853117.315312976
785092.7277564271,5853112.056977453
785142.5697118534,5853112.667732362
785205.883383837,5853111.451764447
785246.5945942823,5853101.274933172
785263.3390275211,5853099.682597499
785325.6061192427,5853071.719107777
785353.440985103,5853056.910772957
785391.9449307662,5853033.588481812
785468.1292566715,5852996.784306066
785523.7229179232,5852968.294955888
785581.773957203,5852950.0674341675
785623.3033016806,5852929.925329456
785676.6841931962,5852888.165769921
785694.2700629266,5852868.55074509
785708.6504291894,5852898.910929909
785743.3695271906,5852855.078727877
785841.0849071847,5852779.87889297
786009.1279851425,5852685.987101732
786132.560085795,5852579.144182232
786188.356123657,5852412.123454693
786193.97569112,5852285.538588009
786150.9179543606,5852173.469660012
786054.4217175685,5852116.153828526
785986.6742732486,5852056.293497426
785981.5481175893,5852025.224051503
785985.8259232867,5851956.778664555
786059.3525696035,5851885.113290614
786158.8929681394,5851820.076301523
786233.1890116608,5851811.768385863
786334.6725089353,5851828.275151389
786484.6241167405,5851868.434051018
786645.9467945179,5851878.876752775
786745.9332381444,5851844.047999783
786767.9876831012,5851794.700058407
786755.5621103846,5851766.004495874
786749.1746913643,5851714.753800544
786787.2498529556,5851564.292239488
786813.0754446445,5851380.568180788
786782.4686400488,5851223.372113377
786774.9339988482,5850965.633947755
786803.5561980101,5850888.648846915
786849.9396611102,5850718.781333971
786869.584553975,5850557.243014705
786830.8022778949,5850376.7269454785
786805.9156144748,5850206.918907537
786805.0903569733,5850107.963708229
786891.8531918694,5849825.9426601175
786999.3371151238,5849366.908736329
786997.3925390167,5849285.3635275215
786970.5501261833,5849179.717396662
786948.8590740027,5848842.4541710755
786959.3811571478,5848713.28258713
786995.9908343164,5848623.899395252
787045.7189764186,5848553.251738619
787099.0725037655,5848536.659569081
787236.3341549509,5848476.307238237
787322.793084805,5848430.626326509
787447.3021662286,5848268.331587678
787502.9907083694,5848141.904546248
787518.7621808551,5847929.315691896
787538.7039283649,5847874.747811753
787703.7740401613,5847635.9509895705
787861.2217639178,5847520.893407994
788011.1121852108,5847410.906530009
788117.8452321651,5847343.99316523
788202.032872353,5847255.1261667
788308.3129176287,5847155.0052074585
788368.0388699438,5847117.777695847
788472.2560035993,5847050.721920868
788584.9883325992,5846851.704643341
788588.9809327534,5846788.264797725
788694.872924623,5846504.849387854
788865.3339628677,5846294.607783014
788955.4775794694,5846149.896640192
789011.8327799882,5846087.330551968
789040.1923231428,5846127.3966890285
789047.8598061515,5846196.332115481
789067.086920206,5846571.621526246
789111.3056342222,5846704.31711845
789225.8889312089,5846927.863859627
789286.4837903058,5846987.656336473
789400.2508079305,5847035.29757916
789472.415265986,5847098.528139675
789509.6213597438,5847154.328426905
789529.9179437637,5847285.178365083
789568.9023804279,5847384.372245442
789629.8225270694,5847477.315500695
789723.3155963691,5847506.1536547635
789790.1555493964,5847505.220037173
789866.1717562128,5847507.514921538
789934.0073484813,5847529.272850561
790003.9068400989,5847592.351122615
790059.7611996651,5847689.946569964
790162.8842635294,5847866.769091497
790238.2787313196,5847917.807238701
790346.6748136159,5847937.3867510175
790401.6335526009,5847897.303145632
790414.0381521431,5847813.952524374
790519.6161873006,5847614.86558028
790550.6072197836,5847537.586987783
790533.4314067496,5847317.72552045
790541.7589129037,5847110.0097115785
790579.2603553063,5846969.494192897
790666.0430605866,5846802.503800692
790758.2578787961,5846624.911795172
790819.2308323265,5846338.735575971
790881.778713084,5846177.094339481
791069.8823271274,5846028.610155294
791189.9112263698,5845901.536859792
791230.3333432549,5845827.599169665
791277.7553419375,5845601.5250596255
791369.8305275581,5845429.37006526
791441.464288775,5845311.8069235
791606.8416121639,5845108.7082506195
791755.8378699485,5844975.516634886
791903.1327206675,5844832.154446251
792110.7396357178,5844753.531135795
792271.3306642293,5844735.826181154
792351.1468273866,5844756.068883262
792608.9070983883,5844713.702386589
792802.9533601756,5844697.74510415
792928.1759824031,5844677.561966313
793012.0649432838,5844670.52230396
793101.4460703017,5844688.5426503485
793193.9317727918,5844697.248084747
793298.0649286031,5844668.289716006
793417.2437819251,5844556.175819404
793645.6338564188,5844450.736470882
793882.0211247372,5844404.53953436
794095.5330786727,5844420.348572053
794316.8968297066,5844500.6535738995
794502.8758670513,5844535.259460642
794686.9162775008,5844602.8651360795
794861.5894780812,5844631.461061879
794972.8072436006,5844643.795896385
795146.4424723692,5844611.60007973
795366.823120201,5844592.32331394
795503.9671684301,5844534.962240116
795553.5604857831,5844581.300358449
795582.2273640502,5844654.021682274
