DOY,Tmin (K),Tmin std (K),Tmax (K),Tmax std (K),Tavg (K),Tavg std (K),Precip (m),Precip std (m)
1,257.33932397640905,5.64205399361309,261.2856511671361,5.184623370829291,259.1408705277876,5.39479591512576,0.0020231941625013148,0.003366296994134301
2,257.82250957817064,6.099750499477119,261.8795663894541,5.0957098437112265,259.66342264311317,5.612803217413115,0.0028481738704887625,0.003672151206385421
3,257.946035024282,7.093028533546173,261.7539721214801,6.175455692620434,259.64282384024204,6.72746122931257,0.002636245280593345,0.0037710245130262257
4,257.6555770761551,7.337775181535331,261.67977920269794,6.816694230594384,259.5160982474062,7.078701347981098,0.0026681594792216452,0.003462022821860123
5,257.7999161104019,7.668825391591472,262.1495876452846,6.595994539301547,259.7698324517477,7.233536492793525,0.0026981934470165433,0.003096931599998405
6,258.0890381834138,7.479629664073375,261.9824474812725,6.494017845657052,259.87009173119094,7.047887617903929,0.002784375285342122,0.003098634872582877
7,258.69159295459343,6.880706396942219,262.4263817789514,6.044408641187071,260.3663303084691,6.533324926911918,0.0032228172868615755,0.003846165063044977
8,259.27114894407686,6.615589191662339,263.25649079643836,5.889904747643734,261.1728853792758,6.27490863395033,0.003209184074505765,0.004175696792046787
9,259.53860604850905,6.08788701420966,263.45774054000066,5.368497471701173,261.32238941989306,5.688728705265466,0.002740489904022907,0.0031269124520844752
10,260.0227020788544,5.908516562403014,264.00432775998877,4.9354701191290475,261.8944300995998,5.4833306902408,0.003277825518266144,0.003515604159479081
11,259.4923812153884,7.430630935159201,263.5999386574186,5.914726382314968,261.35662515626206,6.785834019497993,0.0027679846489833525,0.003761410551085702
12,259.84663863498395,7.085340166027138,263.6971463665037,6.386169177466279,261.6390299504161,6.7411960949181235,0.002302616736737323,0.002650234849201457
13,260.3056827329594,6.711253660322468,264.30096454292305,5.7654127516470535,262.13936163225105,6.306214873743464,0.002680127635352853,0.0031279278557767316
14,260.5216179925043,6.737572749821142,264.350297895052,5.487653173577309,262.28339267890055,6.198782362802873,0.0030747414682230313,0.0036279325843043336
15,260.43051601100615,6.4092435789162785,264.9430858040325,5.221873666225023,262.49520300412945,5.8143100290464345,0.0030453279855088278,0.00359855919256058
16,260.1269571365245,5.619177854850404,264.4318013484121,4.610346797625617,262.099683869383,5.1666984253763095,0.0022880149851270044,0.00272135182523281
17,260.3808428790119,5.152425713992567,264.3504358989893,4.277819043745982,262.1706920127026,4.746980705085958,0.002378250032626239,0.0027082772670286416
18,260.7199250017395,5.897829464833319,264.75778078271367,4.846476891970218,262.55322329359495,5.427439952702317,0.002289508904580236,0.003024359604429432
19,260.66934222847,6.061459217759375,264.96449373512354,5.131123509727157,262.56948357659417,5.651783973248385,0.002197608909958954,0.0038265713348606036
20,260.60654455086524,5.759195330633247,264.83539294493585,4.8193627569621205,262.5021919044289,5.279108117056617,0.00199056770104172,0.0029347648630393794
21,260.52466019014173,4.360047173906078,265.09050265225505,4.306326491138393,262.5853436819166,4.224664723033724,0.0018730567031163233,0.0023305033912918278
22,260.8219685097584,4.75745856743878,265.0264838591255,3.8697627341228773,262.7006209089949,4.359776160759166,0.0021962634937017166,0.0024406503272470645
23,260.9416220475181,5.654549417132103,265.32832265193105,4.535406634703111,262.9031937057907,5.089126651346366,0.0025110975035536258,0.002597813855228553
24,260.83717537394904,6.141030938295506,265.2964072262625,4.75924942552519,262.86226108560396,5.563029420714101,0.0029703982183146337,0.003500353384000283
25,261.37727131011735,6.157212601087542,265.3778677525626,5.269738190273128,263.1711747827929,5.740957237216655,0.0023353770937507077,0.003561931237726149
26,261.0175508316377,5.861993919302218,265.69591970232835,5.08012454843753,263.0920016501986,5.501576508058189,0.002204754780144415,0.0030310367161210825
27,260.9850748048075,6.001058740231344,265.5454739657316,4.999430289933642,263.006551044286,5.491880801227596,0.002450407120606931,0.002758302904595018
28,261.02092204925765,5.803003286788513,265.5633854221653,5.267385802516257,263.03112268096396,5.52953325069915,0.0027226059334988714,0.0031210984278702437
