run_id,NSE
0,0.9505159494690701
1,0.952480180845195
2,0.820266373860553
3,0.9632531341697509
4,0.9111339384451264
5,0.9469618449308501
6,0.9487222545456097
7,0.9303959402851063
8,0.998045276886049
9,0.9606840246456141
10,0.9350930101017225
11,0.7757069098621932
12,0.9719721266225105
13,0.9631208745661871
14,0.9743376371486255
15,0.9330177447631257
16,0.8788187890165015
17,0.9643037509209494
18,0.9200530887472981
19,0.9704340232222132
20,0.9270320227264723
21,0.9252354071443554
22,0.9558515755133703
23,0.8990882851795511
24,0.9566434651300941
25,0.9337317195128564
26,0.965198640836326
27,0.9438320902787123
28,0.9664234365521356
29,0.9615004993435128
30,0.9333850384587042
31,0.947418372879919
32,0.9817219144954541
33,0.8993683240313306
34,0.8353680561060355
35,0.9151611542049153
