Test Year,Obs Vol,Model Vol,Model Stdev
0,17658051655.31136,17129853433.78306,88587292.88923205
1,15620233732.300798,16465012947.809668,84842547.8831842
2,14571892515.409918,15759252061.969957,113684419.11903371
3,13849282937.548801,14382468886.610794,278657753.3247596
4,16637855797.18656,16394949991.02125,143371609.0006049
5,15816889151.078402,14244106809.636885,112317978.87523496
6,15209048243.220482,14159814865.613752,56737938.88728379
7,15205251164.22144,14654064731.526512,147462905.92250466
8,17715712452.89472,17795915340.1948,50239588.43966851
9,19477199909.007355,18310008724.774246,179590353.13233027
10,15604115719.12704,15152924482.189987,126560738.76760574
11,12842420894.208002,13809644702.87126,128274672.54992805
12,15631023112.703999,16216918755.896805,118491683.96948649
13,15876450934.732801,14927166685.321636,111558085.09669273
14,17735475857.633278,18405736591.632996,431618599.5246404
15,18321813848.401917,18611004350.86156,139879098.84332883
16,16063594083.44064,14850652373.385118,63125420.39790305
17,17746754552.34048,18537186881.077557,131105753.42119697
18,15496554648.82176,16772231686.51815,92107870.0193776
19,12895817317.632002,12428055831.323044,169249210.1727852
20,16437836342.568962,15996873272.576141,91653851.2348178
21,14873038557.2352,14374382720.39741,114949512.47883996
22,14955522269.46048,14416242432.797964,128194579.83047971
23,15392357614.356482,15336874742.07967,159741886.32707676
24,15540876738.47808,14771434595.033924,83756990.04364587
25,18225259903.36512,16956844897.911583,94509787.41463919
26,15034189330.11456,15301034983.922493,117084777.17227717
27,13120238876.590078,14346755145.952332,107132358.27403736
28,13526296351.76448,14392343233.153532,335740794.7332039
29,16186585680.322565,17770998224.2357,103915310.40316588
30,19961437577.103355,18484119135.841133,149017150.38737142
31,17360876399.063038,16812729479.368021,112123854.59051141
32,16233794724.372477,16253698675.23238,123623661.81215912
33,16841931667.384321,16605537274.555521,150582912.29755262
34,15586219048.45824,15414648764.590778,768396111.7681186
35,16742860200.25344,16512060044.364462,188198732.2620541
