run_id,NSE
0,0.9310763646542043
1,0.9225970470005291
2,0.8982479479254052
3,0.9370341543316884
4,0.9363095340591352
5,0.8935541998112189
6,0.8943015304404709
7,0.931807842366398
8,0.9555924628445962
9,0.8886225755488307
10,0.9207216865951999
11,0.6074565355381798
12,0.9544970310692396
13,0.955457935341926
14,0.9250752399150309
15,0.8679557859985999
16,0.8565644280702622
17,0.9467305627143222
18,0.9408325099630622
19,0.7677411989843375
20,0.9779282415912594
21,0.9208852320792789
22,0.6761445936230673
23,0.9418953523063732
24,0.9386569132068492
25,0.8813976486205505
26,0.9443369061850074
27,0.9177067459043642
28,0.8410066851484386
29,0.9437686615918984
30,0.8884266108039817
31,0.9391226145269768
32,0.9423891291952583
33,0.9260327112433202
34,0.8783894109741641
35,0.9613945566021187
